# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-40.011206251857125,0.0,-0.13832211052814783,-7.229502182852431,0.0,0.0
 0.055042609763055805,0.003029688889528046,0.0550426097630558,0.9999999999999999,-40.011206251857125,0.56,-0.13832211052814783,-7.229502182852431,0.0,0.0
 0.07712384168033173,0.005948086955532873,0.1321664514433875,3.4927327410565128,-40.03477635899476,1.12,-0.15379663135928082,-6.5020929987986715,-1.0674271809625844,-48.34092522380736
 0.0935730745029785,0.008755920271939962,0.17069691618331015,2.3423867334940485,-40.060005842427664,1.68,-0.1716378607969686,-5.8262203651145805,-1.5337787302861483,-28.350960458259575
 0.10702296465602713,0.011453914963765228,0.20059603915900545,2.2230012762534113,-40.08707834317859,2.24,-0.19231305117730044,-5.1998551002035915,-2.0128417736402513,-35.618361035128295
 0.11850230890136074,0.014042797214953516,0.22552527355738794,2.171660145876043,-40.116205668273345,2.8000000000000003,-0.21640424893267712,-4.620981357492189,-2.5373683785635404,-45.69308086884065
 0.12854296277033214,0.016523293277774992,0.24704527167169296,2.143286522485173,-40.14763340665298,3.36,-0.244642495741233,-4.087597279328508,-3.130048977860832,-59.028087914558036
 0.13746319319797917,0.018896129484184947,0.2660061559683116,2.1256047644074303,-40.18164794380484,3.92,-0.27795419413129735,-3.5977150951988497,-3.8131904133820536,-76.58338437131833
 0.14547175760138134,0.02116203225963505,0.28293495079936065,2.113836385439743,-40.21858530030779,4.48,-0.3175246949416706,-3.1493613439537365,-4.6122319360085235,-99.77337789617127
 0.15281003684668515,0.02332172814001205,0.2943054915440994,1.549483245955164,-40.25884237190332,5.040000000000001,-0.36488663776048974,-2.740577199914885,-5.485900747275516,-119.05635940825013
 0.1598789489655965,0.025375943792608182,0.29059855576652543,-0.524399754193698,-40.30289136869508,5.600000000000001,-0.42204443484677007,-2.3694187564943627,-6.231368568569528,-105.45722011448862
 0.16692999103007145,0.0273254060422981,0.27647860158313875,-2.0025343848857253,-40.35129856835217,6.160000000000002,-0.49165240527987486,-2.033957302478255,-6.865254697738656,-89.89963800709947
 0.17396304947734306,0.029170841904575882,0.26239450107139317,-2.002557012334985,-40.40474896605641,6.720000000000002,-0.5772739981560427,-1.7322796509010445,-7.599879640553385,-104.4531263777166
 0.1809779932400405,0.03091297862775157,0.24834649886142363,-2.002582299329471,-40.464079102766874,7.280000000000003,-0.6837661020977854,-1.4624884107767453,-8.457678167850087,-122.2815971609237
 0.18797466877891073,0.032552543747472115,0.23433487955985574,-2.0026109862785444,-40.530321423946255,7.840000000000003,-0.8178605394747125,-1.2227023456129456,-9.467685161526846,-144.3552710234506
 0.1949528932921722,0.034090265158214714,0.22035997950772465,-2.0026440859810535,-40.60476518453813,8.400000000000004,-0.98906420861355,-1.0110567052080264,-10.668008810894557,-172.0098926434092
 0.20191244526497976,0.035526871208485356,0.20642220302165487,-2.0026830089821313,-40.68904157823839,8.960000000000004,-1.211088382267644,-0.8257035693196878,-12.10945676238167,-207.11792326850247
 0.20885305105113375,0.03686309082979781,0.19252204526269368,-2.002729759798634,-40.785245126908265,9.520000000000005,-1.5041841497694657,-0.6648122174091929,-13.86097289400761,-252.35781797607476
 0.21577436538590897,0.038099653714994235,0.17866012514176413,-2.0027872526005903,-40.89611072059078,10.080000000000005,-1.8990845494408684,-0.5265694991275779,-16.01799720690179,-311.6495232786204
 0.22267594234626778,0.03923729057031942,0.16483723384663052,-2.0028598354447626,-41.02527852658052,10.640000000000006,-2.4439108981941446,-0.4091802204159408,-18.71569450455294,-390.8812888918213
 0.22955719077542727,0.040276733481232535,0.15105440845711185,-2.0029541923110257,-41.177702217968665,11.200000000000006,-3.2168040987699125,-0.31086754719766563,-22.150586911270526,-499.16703953923945
 0.23641730346400858,0.04121871645959312,0.13731304733937152,-2.003080961135361,-41.360299903542774,11.760000000000007,-4.350220294819602,-0.22987341610971654,-26.61730118195384,-651.1138334678071
 0.24325513998358134,0.04206397629196533,0.12361509813121713,-2.0032577802854914,-41.58303452158277,12.320000000000007,-6.080544252313402,-0.16445896263636933,-32.573843700772834,-871.1150817614412
 0.25006902321878155,0.042813253912370564,0.10996337837644463,-2.0035153646672916,-41.86079486766578,12.880000000000008,-8.857006697954667,-0.11290496147314964,-40.76388404311182,-1201.9637055166443
 0.2568563645668476,0.0434672967431997,0.09636215379317814,-2.0039104983488127,-42.21686633382215,13.440000000000008,-13.603168867243062,-0.0735122830392878,-52.461110749622364,-1723.3886004338847
 0.26361292091775024,0.044026862957383714,0.0828182560942096,-2.0045563147207517,-42.68981367257449,14.000000000000009,-22.420334684394685,-0.04460236718482325,-69.99828228904505,-2595.5783728614583
 0.27033117625430747,0.04449272992282462,0.06934344440674928,-2.0057010358236087,-43.34844827729406,14.56000000000001,-40.786825847318426,-0.024517720593002362,-98.03655439167841,-4173.445440524378
 0.2769963458780071,0.04486571294458102,0.05596001944649263,-2.007964645441078,-44.328620381173224,15.12000000000001,-86.04031082891308,-0.011622459174844809,-147.05883859188296,-7354.994241390947
 0.28357461666499323,0.04514671416857225,0.042716579035806626,-2.0132099816999984,-45.9406650390417,15.68000000000001,-232.3965599757295,-0.004302989683257083,-245.05598964663955,-14897.09898361517
