# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,139.99062561123156,140.0,-0.1767580403319303,-5.657451271365764,0.0,0.0
 0.028180714771985173,0.001985381712649958,0.07045178692996293,2.5,139.99062561123156,139.28,-0.1767580403319303,-5.657451271365764,0.0,0.0
 0.0394807477356819,0.003896823604421379,0.1691536562691677,8.734653222366807,139.97089309053626,138.56,-0.19684678623712018,-5.080093097356476,-1.7462356754799395,-154.53367977686594
 0.04789503885224937,0.0057348368666461915,0.21843946646982818,5.857393037378787,139.94974899407262,137.84,-0.22004598035494297,-4.5445047366325895,-2.5128791208583907,-91.11206574121911
 0.05477201005827452,0.007499932714559314,0.2566676222763098,5.558865183700147,139.92703552379686,137.12,-0.24697671910511348,-4.048964629635392,-3.30283050419934,-114.86908403060431
 0.06063867541756578,0.009192622390992241,0.28852671368960087,5.430528155630122,139.9025704400598,136.4,-0.2784143840297282,-3.5917684479018273,-4.170185657224697,-147.844661303494
 0.06576752137894457,0.010813417170824829,0.3160154919912761,5.3596420147282835,139.87614213893008,135.68,-0.31533517253897836,-3.171228860860394,-5.152874804338626,-191.6004408230953
 0.07032162787185921,0.012362828366370619,0.3402228731270099,5.315506164248915,139.8475034893714,134.96,-0.35897930076676665,-2.7856759369245987,-6.288533130091659,-249.37017338525393
 0.07440797627654633,0.013841367333927709,0.36182401037101414,5.286171198527108,139.8163640512331,134.24,-0.41093802269612995,-2.433456980785287,-7.620358093452938,-325.92056072204923
 0.07816593922086283,0.01524954548185196,0.37471847615047976,3.4312381389941735,139.78238015274434,133.52,-0.47327491967626206,-2.1129368120415886,-9.043170194148093,-378.6125945831898
 0.08179961277899765,0.016587874280547338,0.36831288702289167,-1.7628411097215106,139.7451421107312,132.8,-0.5486975111700372,-1.822497787291963,-10.248042763718924,-331.5852539569621
 0.08542355301600116,0.017856865274994436,0.35016885253504554,-5.006714598265207,139.7041575826848,132.07999999999998,-0.6408038636522595,-1.5605399042079793,-11.309382982618962,-292.869128486958
 0.08903770588496918,0.0190570301005952,0.3320736197701175,-5.0067701674431175,139.65882961299477,131.35999999999999,-0.7544431243509749,-1.325480964334151,-12.541796468881982,-340.9965020696327
 0.09264200958745011,0.020188880503462205,0.31402747834149525,-5.0068315320378325,139.6084272917652,130.64,-0.8962528028380555,-1.115756622276015,-13.983927379614412,-400.1135946839809
 0.09623639233093034,0.021252928366748764,0.29603076222659136,-5.00690032177228,139.5520459512771,129.92,-1.0754763488234766,-0.9298205405390417,-15.685959039936353,-473.525437269923
 0.09982076924323437,0.022249685745282587,0.27808386308713035,-5.006978780009163,139.4885522749879,129.2,-1.3052368041266131,-0.7661445010119375,-17.714006602163394,-565.8019822818852
 0.10339503804738279,0.023179664911891332,0.26018724879599964,-5.007070053141856,139.41650719770684,128.48,-1.6045736080583688,-0.6232185267025927,-20.156591803466057,-683.3803877502758
 0.10695907287096876,0.024043378420476862,0.24234148972666333,-5.007178647985461,139.33405535734394,127.75999999999999,-2.0017975707834323,-0.49955101084903186,-23.13440929847825,-835.5186305435833
 0.11051271517338346,0.024841339193675017,0.2245472969116618,-5.007311175609985,139.23876285247647,127.03999999999999,-2.540206100293078,-0.393668844384172,-26.815446451303522,-1035.8490921621496
 0.11405576008485437,0.025574060647578785,0.2068055788769484,-5.007477601334688,139.12737272528614,126.32,-3.2882021637989234,-0.30411755427004544,-31.439095459865353,-1304.9930565634018
 0.11758793518538599,0.026242056874046023,0.18911752884694155,-5.007693425884984,138.99542501608533,125.6,-4.358030687466219,-0.22946144066310026,-37.355936624133435,-1675.1267974731907
 0.12110886631780486,0.026845842915759713,0.17148476326456583,-5.007983660919279,138.83664500557276,124.88,-5.942345455072423,-0.16828372021798124,-45.09602844844397,-2198.3082125758874
 0.12461802008857373,0.027385935197031853,0.15390955100659612,-5.008390457087016,138.64191603256032,124.16,-8.390199898954844,-0.11918667159820216,-55.491718440648015,-2962.449260217605
 0.12811460201772037,0.027862852229682836,0.13639521175680736,-5.008988665128518,138.39746593868512,123.44,-12.377495408372111,-0.08079178921153969,-69.91115861966192,-4123.867385693723
 0.13159736428842783,0.028277115835460765,0.11894685125717168,-5.009920041453583,138.08146257039294,122.71999999999998,-19.327429033404425,-0.05173993904060686,-90.73354530970141,-5978.698823393946
 0.13506421264783916,0.0286292534160699,0.10157282468187592,-5.011475776877033,137.65711286541645,121.99999999999999,-32.582286259693106,-0.03069152336424838,-122.40215347883266,-9134.69667144847
 0.1385113146063564,0.028919802569757867,0.08428794888705424,-5.0143210159808245,137.05721741842822,121.27999999999999,-61.24953093692676,-0.0163266556445922,-174.02892464668545,-14976.862242293462
 0.1419307697212764,0.029149321718439182,0.06712155620346082,-5.020212901374788,136.14465922518798,120.55999999999999,-136.14029141357716,-0.007345364033062961,-266.8724000085547,-27151.540886373412
 0.14530314774446876,0.029318419407431802,0.05014197335817927,-5.034899032229016,134.58994993249607,119.83999999999999,-405.2023764518806,-0.002467902604018301,-461.0127577632017,-57567.79234697737
 0.14856449490884155,0.029427862587985323,0.03355766038926691,-5.08511119272449,131.35610544712492,119.11999999999999,-2294.040199139502,-0.0004359121520081041,-991.5670802231427,-162679.49890638984
