# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 3.509639356970082,4.995503465137868,0.5063782325923171,1.9992734270843093,28.78356973482124,-45.0,-3.162517580313605,-0.3162037758224373,-102.42308190047164,993.2429823166462
 3.5198143713279775,5.000862872279704,0.5267223173672827,1.999415829735815,27.83146693849797,-45.0,-2.7892490148923827,-0.35851944185004325,-93.57262435550858,869.8226099401334
 3.5299937186494788,5.006431755807214,0.5470766790467217,1.9995743377815245,26.958221409056343,-45.0,-2.4716904023675834,-0.4045814148253033,-85.78600394124636,764.9429937236695
 3.540175707379912,5.012209403282168,0.5674380150986402,1.999740580252242,26.154781549241747,-45.0,-2.2000603034411332,-0.4545329954983013,-78.90795021341663,675.5118189506239
 3.550358623771613,5.018194951273574,0.5878029202207782,1.999908900237558,25.413376450895903,-45.0,-1.9665128855936207,-0.5085143389223892,-72.80871901787144,598.9670307531876
 3.5605407710899213,5.024387407280236,0.6081679839308319,2.000075531556699,24.72730690408526,-45.0,-1.764719102298683,-0.5666624216270015,-67.37965238207126,533.1946657301243
 3.5707204953626923,5.030785667906653,0.6285298555218692,2.0002380266331703,24.090773926560903,-45.0,-1.5895445755100273,-0.6291110141904238,-62.52949102236237,476.4531169751054
 3.5808962016873984,5.037388534016627,0.6488852861194051,2.000394856926433,23.498737711555687,-45.0,-1.4368008926119233,-0.6959906589298714,-58.181338583620594,427.30718635075766
 3.5910663639260845,5.044194723434934,0.6692311546827635,2.0005451325019386,22.94680123667456,-45.0,-1.3030527328468833,-0.767428650270523,-54.27017405697103,384.5724812306312
 3.6012295297917873,5.051202881648598,0.6895644827871489,2.0006884048801408,22.43111388967351,-45.0,-1.1854675641714971,-0.8435490183140377,-50.74081775456522,347.2693793492196
 3.611384322749187,5.058411590867243,0.7098824416102035,2.0008245277171377,21.94829137687873,-45.0,-1.0816979246805047,-0.9244725141682827,-47.54626852760742,314.58536282908176
 3.6215294417416537,5.0658193777303095,0.7301823535601317,2.000953558553837,21.49534891194015,-45.0,-0.9897887481847922,-1.0103165971869599,-44.646343258754506,285.84438201328993
 3.631663659465186,5.073424719892738,0.7504616902760896,2.0010756892332906,21.069645269913938,-45.0,-0.9081040288142483,-1.1011954228479135,-42.006561694219194,260.48202599846854
